npi,communityId,from_npi,providername,grouping,classification,specialization,to_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,specialization_cleaned
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",524,1998,2.191,12.937,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1932146032,"HCA HEALTH SERVICES OF TENNESSEE, INC.",74,104,23.74,44.687,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1750328852,"HCA HEALTH SERVICES OF TENNESSEE, INC.",18,55,2.036,8.899,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,52,63,23.921,52.146,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1780778969,SAINT THOMAS WEST HOSPITAL,77,118,34.042,49.346,Nephrology
1578677274,1340,1578677274,RANJAN CHANDA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,82,118,40.89,52.161,Nephrology
1578692695,1340,1578692695,ROBERT MACMILLAN,Allopathic & Osteopathic Physicians,Family Medicine,,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",76,120,29.542,51.216,Family Medicine
1578728283,1349,1578728283,CESAR CARDONA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1861479545,MAURY REGIONAL HOSPITAL,144,300,3.757,15.708,Nephrology
1578728283,1349,1578728283,CESAR CARDONA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1780778969,SAINT THOMAS WEST HOSPITAL,57,63,18.619,51.927,Nephrology
1578728283,1349,1578728283,CESAR CARDONA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1568551455,NASHVILLE GENERAL HOSPITAL,73,186,8.731,18.576,Nephrology
1578728283,1349,1578728283,CESAR CARDONA,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,46,55,39.255,28.952,Nephrology
1578766697,1340,1578766697,CHRIS MEHR,Allopathic & Osteopathic Physicians,Family Medicine,,1265487193,"HCA HEALTH SERVICES OF TENNESSEE, INC.",157,202,0.0,0.0,Family Medicine
1578766697,1340,1578766697,CHRIS MEHR,Allopathic & Osteopathic Physicians,Family Medicine,,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",65,69,31.449,54.146,Family Medicine
1578857017,1349,1578857017,SARAH ESSARY,Allopathic & Osteopathic Physicians,Internal Medicine,,1861479545,MAURY REGIONAL HOSPITAL,369,767,0.0,0.0,Internal Medicine
1588655021,1338,1588655021,EDWIN ANDERSON,Allopathic & Osteopathic Physicians,Internal Medicine,,1629025648,SAINT THOMAS WEST HOSPITAL,100,181,20.249,35.748,Internal Medicine
1588655021,1338,1588655021,EDWIN ANDERSON,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,30,53,29.34,42.445,Internal Medicine
1588655153,1353,1588655153,MICHAEL CALLAWAY,Allopathic & Osteopathic Physicians,Internal Medicine,,1780778969,SAINT THOMAS WEST HOSPITAL,74,89,41.292,52.181,Internal Medicine
1588655153,1353,1588655153,MICHAEL CALLAWAY,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,42,75,33.453,37.704,Internal Medicine
1588655377,1334,1588655377,STEPHEN SCARPERO,Allopathic & Osteopathic Physicians,Internal Medicine,,1295780476,HTI MEMORIAL HOSPITAL CORPORATION,225,373,22.265,39.046,Internal Medicine
1588655377,1334,1588655377,STEPHEN SCARPERO,Allopathic & Osteopathic Physicians,Internal Medicine,,1245271741,"TCMC MADISON-PORTLAND, INC.",126,405,0.128,0.349,Internal Medicine
1588655377,1334,1588655377,STEPHEN SCARPERO,Allopathic & Osteopathic Physicians,Internal Medicine,,1417086596,HTI MEMORIAL HOSPITAL CORPORATION,134,449,0.069,1.463,Internal Medicine
1588684104,1336,1588684104,JEFFREY JORDAN,Allopathic & Osteopathic Physicians,Family Medicine,,1295780476,HTI MEMORIAL HOSPITAL CORPORATION,66,99,38.172,47.44,Family Medicine
1588684104,1336,1588684104,JEFFREY JORDAN,Allopathic & Osteopathic Physicians,Family Medicine,,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,69,104,47.923,62.444,Family Medicine
1588684104,1336,1588684104,JEFFREY JORDAN,Allopathic & Osteopathic Physicians,Family Medicine,,1669567897,NORTHCREST MEDICAL CENTER,42,52,26.115,42.275,Family Medicine
1588684104,1336,1588684104,JEFFREY JORDAN,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,26,51,22.98,29.017,Family Medicine
